platform,id,key,name,rating,user_numbers,creator,last_updated,introduction,record_time
chrome,cpclpigpkojganpmppallpfndknhmjmg,crypto-alert,Crypto Alert,5.0,53,crypto.alert,2021-02-25 00:00:00,Show Cryptocurrencies prices while you are surfing the web and set alarms...,2021-02-27 05:15:48.853148
chrome,iopigoikekfcpcapjlkcdlokheickhpc,aergo-connect,Aergo Connect,5.0,710,Aergo,2020-11-21 00:00:00,"Wallet for Aergo Mainnet, Testnet, and private networks",2021-02-27 05:15:51.368317
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-27 05:15:52.482388
chrome,nkmooloiipfcknccapehflmampkaniji,bitsafe-adblocker, BitSafe Adblocker,0.0,465,support,2020-07-09 00:00:00,Enjoy the Ad-Free Web Experience.,2021-02-27 05:16:46.911290
chrome,dmkamcknogkgcdfhhbddcghachkejeap,keplr,Keplr,4.8,"20,000",keplr,2021-02-23 00:00:00,Keplr is a browser extension wallet for the Inter blockchain ecosystem.,2021-02-27 05:17:01.586453
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,644,https://www.purestake.com,2020-12-29 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions,2021-02-27 05:17:13.782753
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,73,Pibals,2020-01-25 00:00:00,"Algorand Wallet enables access the Algorand Network from your desktop browser.

🔐 Securely send and receive ALGOs
🤝 Connect to…",2021-02-27 05:17:14.360512
chrome,kmmolakhbgdlpkjkcjkebenjheonagdm,algosigner,AlgoSigner,5.0,644,https://www.purestake.com,2020-12-29 00:00:00,Algorand Wallet Extension | Send & Receive ALGOs | Sign dApp Transactions,2021-02-27 05:17:14.897477
chrome,fdahclgkkbnjkfcngfbohobpmedlcfpm,algorand-wallet,Algorand Wallet,0.0,73,Pibals,2020-01-25 00:00:00,"Algorand Wallet enables access the Algorand Network from your desktop browser.

🔐 Securely send and receive ALGOs
🤝 Connect to…",2021-02-27 05:17:15.409724
chrome,ejnhnjnlkkchdogfnjjdnpkjggpiodnh,amo-wallet,AMO Wallet,0.0,17,Penta Security Systems Inc,2020-12-01 00:00:00,AMO Wallet Chrome Extension,2021-02-27 05:17:16.758873
chrome,ndlipcnkmpindoekaljokapponmjjekb,scratch-amp-match-animals,Scratch &amp; Match Animals,0.0,0,rosamondstone955,2020-01-15 00:00:00,You have 3 minutes to scratch and match the animal cards,2021-02-27 05:18:04.915016
chrome,djpjdkkephcgngcphmehnheedambnkjn,boys-amp-girls-bubble-pop,Boys &amp; Girls Bubble Pop,0.0,0,evstigneishaganov,2020-01-16 00:00:00,"In Boys &amp; Girls Bubble Pop, you must burst water ballons to trigger a chain reaction in order to eliminate them",2021-02-27 05:18:07.442187
chrome,ofhcjgfhkkcjadjabioiohpkelppokhm,archero-hack-unlimited-ge,Archero Hack Unlimited Gems & Coins,0.0,20,apollo,2020-12-26 00:00:00,Archero Hack 2021 Unlimited Free Gems And Coins Glitch Cheats Mod Apk,2021-02-27 05:19:14.008873
chrome,hfadghcjdnibmkeeoaffmhcgdgnlaohd,dnet,dNet,0.0,17,MrV,2020-03-16 00:00:00,Access a decentralized internet on the Ardor blockchain platform using *.ardor URLs,2021-02-27 05:19:16.701517
chrome,fhjlhelkkpngpbhhlnigamdanajnnfhg,ark-arkbtc-price-ticker,Ark (ARK/BTC) Price Ticker,5.0,69,Taha,2020-03-14 00:00:00,This extension shows latest price of ARK/BTC for bittrex.,2021-02-27 05:19:19.221834
chrome,njkoakaanifjmpdggjclbmabhmfghico,aliexpress-paypal,AliExpress Paypal,5.0,225,AliChrome,2020-12-22 00:00:00,Show if the AliExpress seller accept Paypal,2021-02-27 05:19:43.509122
chrome,iplppiggblloelhoglpmkmbinggcaaoc,arweave,Arweave,4.923076923076923,"5,000",team,2020-03-08 00:00:00,Arweave web archiver and wallet.,2021-02-27 05:19:52.056876
chrome,einnioafmpimabjcddiinlhmijaionap,arconnect,ArConnect,0.0,13,tate,2021-02-23 00:00:00,Secure wallet management for Arweave,2021-02-27 05:19:53.246295
chrome,fhilaheimglignddkjgofkcbgekhenbh,oxygen-atomic-crypto-wall,Oxygen - Atomic Crypto Wallet,2.0,281,Oxygen - Blockchain Solutions,2020-05-26 00:00:00,"Multi cryptocurrency secure wallet - your key, your money!",2021-02-27 05:19:56.984385
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-27 05:19:57.491770
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-27 05:19:58.464202
chrome,epllefgepapckihklfccpocjbnelpojp,coinclaim,CoinClaim,3.9,"3,000",Satorify.io,2020-02-01 00:00:00,"CoinClaim is a token-based system that rewards you real, tradable crypto (CLM) for completing online quests and challenges.",2021-02-27 05:20:01.250969
chrome,gfjmjaloockgblofndpilcafdonjhhef,eks-token-login,EKS token login,0.0,3,ddh.haven,2020-09-14 00:00:00,Get a token for authentication with an eks cluster,2021-02-27 05:20:14.701679
chrome,ckhhiodbmfdohcbfmbooboiijnfgpmnf,icashback-app,iCashBack App,4.833333333333333,724,iCashBack,2020-05-05 00:00:00,Adauga acum si automat ai CashBack si Vouchere la cele mai tari magazine din Romania si strainatate!,2021-02-27 05:20:28.204384
chrome,olognjcjfiknpiblpbnmjgbehodclokg,stumble-across,Stumble Across,5.0,15,StumbleAcross,2020-09-27 00:00:00,Bookmarking and content discovery on the blockchain,2021-02-27 05:21:33.860747
chrome,fgkldlaelopgncepgpncndebgdddikii,julwallet,JulWallet,5.0,824,JustLiquidity,2021-02-18 00:00:00,A MultiWallet in your Browser,2021-02-27 05:21:55.674239
chrome,fnjhmkhhmkbjkkabndcnnogagogbneec,ronin-wallet,Ronin Wallet,4.986301369863014,"8,000",Sky Mavis,2021-02-04 00:00:00,A wallet for Sky Mavis's Ronin sidechain,2021-02-27 05:22:16.416239
chrome,ogajfoicbmjoggcpkmhddokjoipjbnkg,feel-the-fee,Feel the Fee,0.0,54,harry830622,2020-09-10 00:00:00,Check out real-time gas fees on Ethereum in whatever currency you like,2021-02-27 05:22:25.301901
chrome,hpglfhgfnhbgpjdenjgmdgoeiappafln,guarda,Guarda,4.0,"3,000",Guarda,2020-12-29 00:00:00,Browser extension for Ethereum and any blockchain,2021-02-27 05:22:27.341292
